Year,Lines Added,Lines Deleted
2001,1914,46
2002,160451,28115
2003,6776,3512
2004,15332,138910
2005,246326,100302
2006,145940,398768
2007,91971,292609
2008,212456,116022
2009,186371,91690
2010,65985,37125
2011,159909,95709
2012,221773,63975
2013,70492,143234
2014,54815,153579
2015,43007,24640
2016,132601,122810
2017,194245,167868
2018,132196,47769
2019,90182,102186
2020,136641,74033
2021,296302,204011
2022,89298,49902
2023,118433,97267
2024,101258,68734
2025,85283,84756
